Campo1|Campo2|Campo3|Campo4
2015/08/15|Hola mundo 1|1|1,555666
2015/08/16|Hola mundo 2|2|2,555666
2015/08/17|Hola mundo 3|3|3,555666
2015/08/18|Hola mundo 4|4|4,555666
2015/08/19|Hola mundo 5|5|5,555666
2015/08/20|Hola mundo 6|6|6,555666
2015/08/21|Hola mundo 7|7|7,555666
2015/08/22|Hola mundo 8|8|8,555666
2015/08/23|Hola mundo 9|9|9,555666
2015/08/24|Hola mundo 10|10|10,555666
2015/08/25|Hola mundo 11|11|11,555666
2015/08/26|Hola mundo 12|12|12,555666
2015/08/27|Hola mundo 13|13|13,555666
2015/08/28|Hola mundo 14|14|14,555666
2015/08/29|Hola mundo 15|15|15,555666
2015/08/30|Hola mundo 16|16|16,555666
2015/08/31|Hola mundo 17|17|17,555666
2015/09/01|Hola mundo 18|18|18,555666
2015/09/02|Hola mundo 19|19|19,555666
2015/09/03|Hola mundo 20|20|20,555666
2015/09/04|Hola mundo 21|21|21,555666
2015/09/05|Hola mundo 22|22|22,555666
2015/09/06|Hola mundo 23|23|23,555666
2015/09/07|Hola mundo 24|24|24,555666
2015/09/08|Hola mundo 25|25|25,555666
2015/09/09|Hola mundo 26|26|26,555666
2015/09/10|Hola mundo 27|27|27,555666
2015/09/11|Hola mundo 28|28|28,555666
2015/09/12|Hola mundo 29|29|29,555666
2015/09/13|Hola mundo 30|30|30,555666
2015/09/14|Hola mundo 31|31|31,555666
2015/09/15|Hola mundo 32|32|32,555666
2015/09/16|Hola mundo 33|33|33,555666
2015/09/17|Hola mundo 34|34|34,555666
2015/09/18|Hola mundo 35|35|35,555666
2015/09/19|Hola mundo 36|36|36,555666
2015/09/20|Hola mundo 37|37|37,555666
2015/09/21|Hola mundo 38|38|38,555666
2015/09/22|Hola mundo 39|39|39,555666
2015/09/23|Hola mundo 40|40|40,555666
2015/09/24|Hola mundo 41|41|41,555666
2015/09/25|Hola mundo 42|42|42,555666
2015/09/26|Hola mundo 43|43|43,555666
2015/09/27|Hola mundo 44|44|44,555666
2015/09/28|Hola mundo 45|45|45,555666
2015/09/29|Hola mundo 46|46|46,555666
2015/09/30|Hola mundo 47|47|47,555666
2015/10/01|Hola mundo 48|48|48,555666
2015/10/02|Hola mundo 49|49|49,555666
2015/10/03|Hola mundo 50|50|50,555666
2015/10/04|Hola mundo 51|51|51,555666
2015/10/05|Hola mundo 52|52|52,555666
2015/10/06|Hola mundo 53|53|53,555666
2015/10/07|Hola mundo 54|54|54,555666
2015/10/08|Hola mundo 55|55|55,555666
2015/10/09|Hola mundo 56|56|56,555666
2015/10/10|Hola mundo 57|57|57,555666
2015/10/11|Hola mundo 58|58|58,555666
2015/10/12|Hola mundo 59|59|59,555666
2015/10/13|Hola mundo 60|60|60,555666
2015/10/14|Hola mundo 61|61|61,555666
2015/10/15|Hola mundo 62|62|62,555666
2015/10/16|Hola mundo 63|63|63,555666
2015/10/17|Hola mundo 64|64|64,555666
2015/10/18|Hola mundo 65|65|65,555666
2015/10/19|Hola mundo 66|66|66,555666
2015/10/20|Hola mundo 67|67|67,555666
2015/10/21|Hola mundo 68|68|68,555666
2015/10/22|Hola mundo 69|69|69,555666
2015/10/23|Hola mundo 70|70|70,555666
2015/10/24|Hola mundo 71|71|71,555666
2015/10/25|Hola mundo 72|72|72,555666
2015/10/26|Hola mundo 73|73|73,555666
2015/10/27|Hola mundo 74|74|74,555666
